,index,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0,2002-02-13 00:00:00-05:00,1.620128432409022,1.693349891934307,1.6032958650042581,1.691666603088379,76216000,0.0,0.0
1,1,2002-02-14 00:00:00-05:00,1.7127078270101719,1.7160742453441344,1.6706265544080907,1.683250904083252,11021600,0.0,0.0
2,2,2002-02-15 00:00:00-05:00,1.6832507758068826,1.6874588385354785,1.6580020783807008,1.6748344898223877,8389600,0.0,0.0
3,3,2002-02-19 00:00:00-05:00,1.666417795821863,1.666417795821863,1.5780472159401218,1.60750412940979,7410400,0.0,0.0
4,4,2002-02-20 00:00:00-05:00,1.6159207756799667,1.6622101068496704,1.6032962666997748,1.6622101068496704,6892800,0.0,0.0
5,5,2002-02-21 00:00:00-05:00,1.6563182533334786,1.6706258867210497,1.6411689755669618,1.6580015420913696,6976800,0.0,0.0
6,6,2002-02-22 00:00:00-05:00,1.6706255786199595,1.6706255786199595,1.6159199882954574,1.6285443305969238,3525600,0.0,0.0
7,7,2002-02-25 00:00:00-05:00,1.624336267719021,1.653793176310244,1.6058205745749103,1.6411688327789307,3453600,0.0,0.0
8,8,2002-02-26 00:00:00-05:00,1.6327525502489757,1.6580013978388402,1.6066622188806294,1.6411688327789307,2761600,0.0,0.0
9,9,2002-02-27 00:00:00-05:00,1.628544544543802,1.6293861888780987,1.5990876349523884,1.6117119789123535,4091200,0.0,0.0
10,10,2002-02-28 00:00:00-05:00,1.6159204133335903,1.6369610428794585,1.60750412940979,1.60750412940979,2751200,0.0,0.0
11,11,2002-03-01 00:00:00-05:00,1.6032959020275483,1.645377160983938,1.5974045514580157,1.630228042602539,1913600,0.0,0.0
12,12,2002-03-04 00:00:00-05:00,1.6369609141994854,1.6672593092052677,1.634435981062649,1.6580015420913696,3180800,0.0,0.0
13,13,2002-03-05 00:00:00-05:00,1.6495850624010786,1.6537931232674705,1.6125535167733476,1.6201281547546387,3444800,0.0,0.0
14,14,2002-03-06 00:00:00-05:00,1.619286404663145,1.6352773238595206,1.6159199882954574,1.6285443305969238,1316800,0.0,0.0
15,15,2002-03-07 00:00:00-05:00,1.6285445107374923,1.7337476424320688,1.6285445107374923,1.7185983657836914,2700800,0.0,0.0
16,16,2002-03-08 00:00:00-05:00,1.7084994099905477,1.767413249173931,1.7084994099905477,1.7589969635009766,1600800,0.0,0.0
17,17,2002-03-11 00:00:00-05:00,1.750579848155587,1.801077377733141,1.746371787577133,1.7817200422286987,5462400,0.0,0.0
18,18,2002-03-12 00:00:00-05:00,1.7674129227903501,1.8431591588044829,1.7674129227903501,1.784245491027832,5819200,0.0,0.0
19,19,2002-03-13 00:00:00-05:00,1.7842449338333572,1.8094936177775052,1.7379554658994627,1.7690956592559814,5063200,0.0,0.0
20,20,2002-03-14 00:00:00-05:00,1.7690961898330595,1.7842454689539191,1.7539469107121997,1.7674129009246826,1696800,0.0,0.0
21,21,2002-03-15 00:00:00-05:00,1.7674121478516647,1.7758284282802073,1.6748333841920904,1.7127065658569336,1708000,0.0,0.0
22,22,2002-03-18 00:00:00-05:00,1.71691490201987,1.71691490201987,1.6032954992737793,1.6243361234664917,2207200,0.0,0.0
23,23,2002-03-19 00:00:00-05:00,1.6369614495696856,1.6411695123134138,1.5654232592351784,1.573839545249939,3229600,0.0,0.0
